last_name,BB,HR,HP,FC,id,first_name,ROE,PA,TB,IBB,AB,D,H,K,team,S,T,SLG,OBP,OPS,SH,Year,AVG,SF
Reuss,6,1,0,0,reusj001,Jerry,1,82,10,0,76,1,6,25,LAN,4,0,0.132,0.146,0.278,4,1980,0.079,0
Faedo,0,0,0,0,faedl001,Lenny,0,10,3,0,10,1,2,0,MIN,1,0,0.3,0.2,0.5,1,1980,0.2,0
Cerone,32,14,6,0,ceror001,Rick,8,592,224,2,544,30,144,55,NYA,96,4,0.412,0.307,0.719,8,1980,0.265,10
Bomback,3,0,2,0,bombm101,Mark,0,58,13,0,53,3,10,15,NYN,7,0,0.245,0.259,0.504,5,1980,0.189,0
Nahorodny,8,5,2,0,nahob001,Bill,3,166,65,1,156,12,38,20,ATL,21,0,0.417,0.289,0.706,0,1980,0.244,0
Rettenmund,1,0,0,0,rettm101,Merv,0,5,1,0,4,0,1,1,CAL,1,0,0.25,0.4,0.65,0,1980,0.25,0
Bibby,6,1,1,0,bibbj001,Jim,0,105,18,0,97,3,12,31,PIT,8,0,0.186,0.181,0.367,10,1980,0.124,1
Mota,0,0,0,0,motam101,Manny,0,7,3,0,7,0,3,0,LAN,3,0,0.429,0.429,0.858,0,1980,0.429,0
Norris,23,0,0,0,norrj101,Jim,0,213,48,2,185,5,43,16,TEX,38,0,0.259,0.31,0.569,3,1980,0.232,5
Thon,10,0,1,0,thond001,Dickie,7,292,84,0,279,12,68,28,CAL,54,2,0.301,0.271,0.572,5,1980,0.244,2
Burnside,0,0,0,0,burns101,Sheldon,0,1,0,0,1,0,0,1,CIN,0,0,0.0,0.0,0.0,0,1980,0.0,0
Wilborn,0,0,0,0,wilbt101,Ted,0,8,2,0,8,0,2,1,NYA,2,0,0.25,0.25,0.5,0,1980,0.25,0
Fahey,21,1,0,0,faheb101,Bill,3,269,69,6,245,4,62,16,SDN,57,0,0.282,0.31,0.592,1,1980,0.253,2
Henderson,17,2,0,0,hendk101,Ken,1,99,25,3,82,3,16,19,CHN,11,0,0.305,0.333,0.638,0,1980,0.195,0
Otis,39,10,3,0,otisa001,Amos,2,460,151,0,408,16,99,70,KCA,70,3,0.37,0.307,0.677,2,1980,0.243,10
Bystrom,1,0,0,0,bystm001,Marty,0,15,1,0,14,0,1,9,PHI,1,0,0.071,0.133,0.204,0,1980,0.071,0
Craig,17,3,2,0,crair001,Rod,2,269,83,3,250,15,57,35,SEA,38,1,0.332,0.283,0.615,5,1980,0.228,0
Whitson,1,0,0,0,white001,Eddie,0,85,6,0,84,0,6,21,SFN,6,0,0.071,0.082,0.153,9,1980,0.071,0
Wills,51,5,3,0,willb101,Bump,8,678,208,1,615,31,152,70,TEX,111,5,0.338,0.304,0.642,15,1980,0.247,8
Whitt,22,6,0,0,white002,Ernie,2,333,104,0,308,12,70,30,TOR,50,2,0.338,0.276,0.614,5,1980,0.227,3
Frias,4,0,1,0,friap101,Pepe,8,269,65,0,262,6,57,23,TEX,50,1,0.248,0.23,0.478,12,1980,0.218,2
Ramirez,2,2,4,0,ramir001,Rafael,2,176,58,0,170,6,44,32,ATL,35,1,0.341,0.284,0.625,3,1980,0.259,0
Bannister,40,1,0,0,banna001,Alan,7,454,145,6,409,23,111,41,CLE,83,4,0.355,0.333,0.688,6,1980,0.271,5
Landreaux,39,7,2,0,landk001,Ken,5,547,202,4,501,23,136,42,MIN,95,11,0.403,0.324,0.727,6,1980,0.271,5
Castino,29,13,0,0,castj001,John,14,620,235,1,588,17,165,64,MIN,128,7,0.4,0.313,0.713,21,1980,0.281,3
Ott,33,8,0,0,ott-e101,Ed,1,435,140,8,401,14,102,47,PIT,80,0,0.349,0.31,0.659,4,1980,0.254,1
Gomez,17,0,1,0,gomel101,Luis,4,318,59,2,299,6,53,27,ATL,47,0,0.197,0.223,0.42,10,1980,0.177,1
Wohlford,13,1,1,0,wohlj001,Jim,2,213,71,0,196,6,54,23,SFN,43,4,0.362,0.319,0.681,0,1980,0.276,3
LaCock,17,1,1,0,lacop101,Pete,2,178,41,1,158,6,32,10,KCA,25,0,0.259,0.281,0.54,0,1980,0.203,2
Blackwell,41,5,0,0,blact101,Tim,2,371,126,6,327,16,87,62,CHN,62,4,0.385,0.345,0.73,2,1980,0.266,3
Armas,29,35,2,0,armat001,Tony,12,673,314,4,637,18,175,128,OAK,114,8,0.493,0.306,0.799,2,1980,0.275,5
Leonard,19,3,0,0,leonj001,Jeff,4,241,72,2,220,7,46,46,HOU,31,5,0.327,0.27,0.597,1,1980,0.209,2
