game_id,winner
201408290TOR,away
201409040TBA,away
201407260COL,home
201404140MIA,away
201408300SFN,home
201406110SEA,away
201409220ATL,away
201404140MIL,away
201408040WAS,away
201406190ARI,away
201404220DET,home
201408110BAL,away
201409210OAK,home
201406180DET,away
201405300HOU,home
201409140SLN,home
201408100NYA,away
201405120HOU,away
201408130DET,home
201404030HOU,away
201404250SEA,home
201405240SDN,away
201407270CHN,away
201409270CHA,home
201407190PIT,home
201405160SLN,home
201405310PHI,away
201405260TOR,away
201406080TOR,away
201408290ANA,home
201407200WAS,home
201405050ATL,away
201409030ATL,home
201405250CIN,away
201407280NYN,home
201405100BAL,home
201406100ANA,home
201406150DET,home
201409150ATL,away
201407060CLE,home
201408080CIN,away
201405040CHN,away
201407310CLE,away
201408100TOR,home
201409120NYN,home
201408260CIN,away
201406300WAS,home
201404060COL,away
201406190MIA,away
201406230COL,away
201405130BAL,away
201405230SFN,home
201406180MIA,away
201406190MIN,home
201404022OAK,away
201407070ANA,home
201408010DET,home
201409250TEX,home
201408120SFN,away
201404050BOS,away
201409280WAS,home
201406160OAK,home
201409260MIL,away
201406270PHI,away
201405280SFN,home
201409050MIN,away
201409050MIL,home
201408080SEA,home
201409050MIA,away
201409280ARI,away
201404010ARI,home
201407300TEX,home
201405050PIT,away
201405120SLN,home
201406270TOR,away
201408170TBA,away
201404070COL,home
201407040OAK,home
201407230MIL,home
201409180OAK,away
201406150SEA,home
201407230MIN,home
201408090CIN,away
201404080ATL,away
201409230BOS,away
201404230CLE,home
201408301CHA,home
201407090TBA,away
201405220BAL,away
201406160SEA,home
201409150COL,home
201407290TEX,away
201407270SFN,away
201406180NYA,home
201406220COL,away
201406090ANA,home
201407270KCA,home
201404200CHN,away
201405030CLE,home
201408310KCA,away
201404180LAN,away
201406300ATL,home
201406090TBA,away
201409110CIN,home
201404060HOU,home
201408080PHI,away
201406200KCA,away
201403300SDN,home
201404240HOU,away
201409010OAK,home
201405280SEA,home
201404150ARI,away
201405310HOU,away
201408250SFN,away
201405070BOS,home
201409200BAL,home
201407240PHI,home
201409200SLN,home
201408310PIT,away
201409170MIN,home
201407082CIN,home
201408100ANA,away
201408080PIT,home
201405220MIA,home
201407130CLE,home
201406080COL,away
201408290PIT,home
201406010ARI,away
201405270SFN,home
201404130MIL,home
201403310MIA,home
201405070TBA,away
201406040DET,away
201407300CIN,away
201406271BAL,away
201408010TBA,away
201409280TOR,away
201405300SLN,away
201408050LAN,home
201406210CIN,home
201404090BOS,home
201409010COL,away
201407230NYA,home
201405080CLE,home
201408020CLE,home
201404200BOS,home
